month,pop,time,type
Jun,5167527.0,9,male
Jun,5185483.0,10,male
Jun,5195726.0,11,male
Jun,5207441.0,12,male
Jun,5221285.0,13,male
Jun,5232177.0,14,male
Jun,5238085.0,15,male
Jun,5243138.0,16,male
Jun,5247733.0,17,male
Jun,5233088.0,18,male
Jun,5193441.0,19,male
Jun,5164297.0,20,male
Jun,5136307.0,21,male
Jun,5097377.0,22,male
Jun,5040724.0,23,male
Jun,5566789.0,0,female
Jun,5562429.0,1,female
Jun,5559505.0,2,female
Jun,5557467.0,3,female
Jun,5557636.0,4,female
Jun,5559284.0,5,female
Jun,5570792.0,6,female
Jun,5622434.0,7,female
Jun,5704718.0,8,female
Jun,5767342.0,9,female
Jun,5804700.0,10,female
Jun,5830636.0,11,female
Jun,5849090.0,12,female
Jun,5864826.0,13,female
Jun,5872519.0,14,female
Jun,5870041.0,15,female
Jun,5858423.0,16,female
Jun,5843710.0,17,female
Jun,5807476.0,18,female
Jun,5754241.0,19,female
Jun,5716333.0,20,female
Jun,5679432.0,21,female
Jun,5634222.0,22,female
Jun,5577842.0,23,female
Jun,10836389.041666662,avg,total
Jun,5128186.083333328,avg,male
Jun,5707995.291666665,avg,female
Mar,10669719.0,0,total
Mar,10656644.0,1,total
Mar,10649708.0,2,total
Mar,10644765.0,3,total
Mar,10647252.0,4,total
Mar,10656234.0,5,total
Mar,10687515.0,6,total
Mar,10800474.0,7,total
Mar,10947605.0,8,total
Mar,11062052.0,9,total
Mar,11131180.0,10,total
Mar,11179370.0,11,total
Mar,11218036.0,12,total
Mar,11252710.0,13,total
Mar,11268943.0,14,total
Mar,11268388.0,15,total
Mar,11255827.0,16,total
Mar,11241411.0,17,total
Mar,11184359.0,18,total
Mar,11077061.0,19,total
Mar,10994818.0,20,total
Mar,10915982.0,21,total
Mar,10818889.0,22,total
Mar,10698305.0,23,total
Mar,5061346.0,0,male
Mar,5052866.0,1,male
Mar,5048435.0,2,male
Mar,5045473.0,3,male
Mar,5046712.0,4,male
Mar,5051896.0,5,male
Mar,5069287.0,6,male
Mar,5126375.0,7,male
Mar,5187164.0,8,male
Mar,5232880.0,9,male
Mar,5257241.0,10,male
Mar,5273036.0,11,male
Mar,5288816.0,12,male
Mar,5304945.0,13,male
Mar,5314612.0,14,male
Mar,5319263.0,15,male
Mar,5322183.0,16,male
Mar,5325364.0,17,male
Mar,5308655.0,18,male
Mar,5262203.0,19,male
Mar,5224344.0,20,male
Mar,5187899.0,21,male
Mar,5141014.0,22,male
Mar,5079366.0,23,male
Mar,5608164.0,0,female
Mar,5603559.0,1,female
Mar,5601068.0,2,female
Mar,5599076.0,3,female
Mar,5600334.0,4,female
Mar,5604124.0,5,female
Mar,5618026.0,6,female
Mar,5673883.0,7,female
Mar,5760251.0,8,female
Mar,5828957.0,9,female
Mar,5873720.0,10,female
Mar,5906135.0,11,female
Mar,5929021.0,12,female
Mar,5947542.0,13,female
Mar,5954125.0,14,female
Mar,5948927.0,15,female
Mar,5933426.0,16,female
Mar,5915852.0,17,female
Mar,5875487.0,18,female
Mar,5814670.0,19,female
Mar,5770255.0,20,female
Mar,5727871.0,21,female
Mar,5677657.0,22,female
Mar,5618739.0,23,female
Mar,10955301.958333325,avg,total
Mar,5188807.291666666,avg,male
Mar,5766286.208333333,avg,female
May,10591110.0,0,total
May,10573994.0,1,total
May,10565123.0,2,total
May,10558210.0,3,total
May,10554595.0,4,total
May,10548723.0,5,total
May,10566579.0,6,total
May,10659141.0,7,total
May,10794285.0,8,total
May,10898950.0,9,total
May,10952643.0,10,total
May,10986089.0,11,total
May,11016897.0,12,total
May,11050808.0,13,total
May,11072935.0,14,total
May,11079314.0,15,total
May,11073949.0,16,total
May,11068885.0,17,total
May,11020392.0,18,total
May,10929110.0,19,total
May,10860995.0,20,total
May,10793156.0,21,total
May,10702706.0,22,total
May,10580299.0,23,total
May,5026958.0,0,male
May,5016942.0,1,male
May,5011306.0,2,male
May,5007211.0,3,male
May,5005175.0,4,male
May,5001101.0,5,male
May,5010785.0,6,male
May,5056899.0,7,male
May,5111834.0,8,male
May,5153693.0,9,male
May,5172061.0,10,male
May,5181674.0,11,male
May,5193239.0,12,male
May,5209147.0,13,male
May,5220933.0,14,male
May,5227186.0,15,male
May,5230843.0,16,male
May,5236852.0,17,male
May,5222775.0,18,male
May,5184241.0,19,male
May,5154844.0,20,male
May,5125827.0,21,male
May,5083567.0,22,male
May,5022419.0,23,male
May,5563941.0,0,female
May,5556842.0,1,female
May,5553616.0,2,female
May,5550792.0,3,female
May,5549236.0,4,female
May,5547400.0,5,female
May,5555595.0,6,female
May,5602023.0,7,female
May,5682260.0,8,female
May,5745049.0,9,female
May,5780362.0,10,female
May,5804201.0,11,female
May,5823465.0,12,female
May,5841437.0,13,female
May,5851789.0,14,female
May,5851929.0,15,female
May,5842910.0,16,female
May,5831810.0,17,female
May,5797401.0,18,female
May,5744679.0,19,female
May,5705939.0,20,female
May,5667116.0,21,female
May,5618931.0,22,female
May,5557685.0,23,female
May,10812453.666666672,avg,total
May,5119479.666666663,avg,male
May,5692767.000000001,avg,female
Nov,10608252.0,0,total
Nov,10585374.0,1,total
Nov,10575780.0,2,total
Nov,10570317.0,3,total
Nov,10571398.0,4,total
Nov,10577336.0,5,total
Nov,10601078.0,6,total
Nov,10706771.0,7,total
Nov,10861113.0,8,total
Nov,10978101.0,9,total
Nov,11050578.0,10,total
Nov,11106074.0,11,total
Nov,11144545.0,12,total
Nov,11178975.0,13,total
Nov,11195026.0,14,total
Nov,11196172.0,15,total
Nov,11183837.0,16,total
Nov,11165144.0,17,total
Nov,11100239.0,18,total
Nov,10986902.0,19,total
Nov,10904858.0,20,total
Nov,10825370.0,21,total
Nov,10728638.0,22,total
Nov,10606102.0,23,total
Nov,5021191.0,0,male
Nov,5008536.0,1,male
Nov,5002793.0,2,male
Nov,4999532.0,3,male
Nov,4999989.0,4,male
Nov,5002884.0,5,male
Nov,5015540.0,6,male
Nov,5068253.0,7,male
Nov,5132834.0,8,male
Nov,5179931.0,9,male
Nov,5207292.0,10,male
Nov,5227935.0,11,male
Nov,5244310.0,12,male
Nov,5261386.0,13,male
Nov,5271723.0,14,male
Nov,5276805.0,15,male
Nov,5278968.0,16,male
Nov,5278787.0,17,male
Nov,5256633.0,18,male
Nov,5206984.0,19,male
Nov,5169258.0,20,male
Nov,5132001.0,21,male
Nov,5085294.0,22,male
Nov,5022627.0,23,male
Nov,5231013.0,0,female
Nov,5221246.0,1,female
Nov,5217392.0,2,female
Nov,5215286.0,3,female
Nov,5215846.0,4,female
Nov,5218963.0,5,female
Nov,5230208.0,6,female
Nov,5283192.0,7,female
Nov,5372888.0,8,female
Nov,5441145.0,9,female
Nov,5484928.0,10,female
Nov,5518538.0,11,female
Nov,5540079.0,12,female
Nov,5557053.0,13,female
Nov,5563024.0,14,female
Nov,5559625.0,15,female
Nov,5546087.0,16,female
Nov,5528807.0,17,female
Nov,5486980.0,18,female
Nov,5424337.0,19,female
Nov,5380557.0,20,female
Nov,5338780.0,21,female
Nov,5288166.0,22,female
Nov,5228751.0,23,female
Nov,10875332.500000011,avg,total
Nov,5139645.25,avg,male
