,adm_nm,adm_cd,adm_cd2,lng,lat
301,서울특별시 영등포구 도림동,1119075,1156058500,126.9016323,37.50893467
302,서울특별시 영등포구 문래동,1119076,1156060500,126.8917383,37.51562688
303,서울특별시 동작구 노량진2동,1120052,1159052000,126.9385382,37.51109348
304,서울특별시 동작구 상도1동,1120053,1159053000,126.9547149,37.49948291
305,서울특별시 동작구 상도2동,1120054,1159054000,126.9414565,37.5035252
306,서울특별시 동작구 상도3동,1120055,1159055000,126.9349806,37.49748269
307,서울특별시 동작구 상도4동,1120056,1159056000,126.9401139,37.49767534
308,서울특별시 동작구 사당1동,1120063,1159062000,126.9761285,37.48011133
309,서울특별시 동작구 사당3동,1120065,1159064000,126.9707035,37.48892105
310,서울특별시 동작구 사당4동,1120066,1159065000,126.9705033,37.48070444
311,서울특별시 동작구 사당5동,1120067,1159065100,126.9660712,37.48685962
312,서울특별시 동작구 대방동,1120068,1159066000,126.9277434,37.50697994
313,서울특별시 동작구 신대방1동,1120069,1159067000,126.9095977,37.49077494
314,서울특별시 동작구 신대방2동,1120070,1159068000,126.9222022,37.49399734
315,서울특별시 동작구 흑석동,1120071,1159060500,126.9647334,37.50539449
316,서울특별시 동작구 노량진1동,1120072,1159051000,126.9504421,37.5130018
317,서울특별시 동작구 사당2동,1120073,1159063000,126.9745059,37.4983436
318,서울특별시 관악구 보라매동,1121052,1162052500,126.9322216,37.49059865
319,서울특별시 관악구 청림동,1121054,1162054500,126.9591273,37.48956319
320,서울특별시 관악구 행운동,1121057,1162057500,126.9616279,37.48083494
321,서울특별시 관악구 낙성대동,1121058,1162058500,126.9612801,37.4681931
322,서울특별시 관악구 중앙동,1121061,1162061500,126.9513207,37.48411239
323,서울특별시 관악구 인헌동,1121062,1162062500,126.9664774,37.47218937
324,서울특별시 관악구 남현동,1121063,1162063000,126.9765767,37.46170529
325,서울특별시 관악구 서원동,1121064,1162064500,126.9330698,37.48008994
326,서울특별시 관악구 신원동,1121065,1162065500,126.9266924,37.479147
327,서울특별시 관악구 서림동,1121066,1162066500,126.9381013,37.473787
328,서울특별시 관악구 신사동,1121068,1162068500,126.9197521,37.48568796
