bbl,bldgclass,bldgclass_letter,borough,counts,lng,lat
3050140017,A1,A,BK,81966,-73.93894976399922,40.63516362590481
3067920062,A1,A,BK,73496,-73.94462619964025,40.61103988920566
3067930043,A1,A,BK,71667,-73.94296295494732,40.61097300268986
3052610010,A1,A,BK,212078,-73.97949191077714,40.653981032350345
3067550003,A1,A,BK,100303,-73.9573034239352,40.61562830418966
3053870083,A1,A,BK,87664,-73.97604948476388,40.637736527212645
3070850056,A1,A,BK,47053,-73.97585774341859,40.59969147702464
3077110027,A1,A,BK,71579,-73.94199087091766,40.61060735640348
3067680041,A1,A,BK,72526,-73.95203276649002,40.61173550896999
3050930029,A1,A,BK,187507,-73.96806323477716,40.6466859430269
3050940013,A1,A,BK,182984,-73.96719816917279,40.64739048099335
3051160070,A1,A,BK,186345,-73.96786703433081,40.6459011412415
3051190059,A1,A,BK,187343,-73.96485714111974,40.64553103585407
3086020013,A1,A,BK,91286,-73.90972035659388,40.60633107849323
3059450070,A1,A,BK,113144,-74.01577115694798,40.62463568831762
3076060045,A1,A,BK,95666,-73.95198371637842,40.625960041330494
3035690029,A1,A,BK,71829,-73.91551718796336,40.662988416478306
3050080017,A1,A,BK,83116,-73.94463957694342,40.63498526186267
3068010006,A1,A,BK,54373,-73.95475727723368,40.60838672407886
3068010012,A1,A,BK,53227,-73.95461458599996,40.60820836003673
3068010020,A1,A,BK,52819,-73.95452986307997,40.60777136813349
3059770065,A1,A,BK,171542,-74.03338014700803,40.629050198360524
3059770067,A1,A,BK,171514,-74.03352729734281,40.62908587116897
3065840062,A1,A,BK,67943,-73.97219682145371,40.612078859751115
3059360049,A1,A,BK,144559,-74.03659961796862,40.632390065049556
3050080022,A1,A,BK,84754,-73.94467524975184,40.63527510343114
3068030036,A1,A,BK,60438,-73.95211748941004,40.60719168499654
3068030046,A1,A,BK,59875,-73.95189899345841,40.606687806577504
3068040020,A1,A,BK,63759,-73.95135498312992,40.60814147352092
3068040061,A1,A,BK,63042,-73.9515378062731,40.60718276679443
3068040063,A1,A,BK,63513,-73.9515556426773,40.60727640791656
3051830082,A1,A,BK,139759,-73.96004577108306,40.64036739683418
3076010020,A1,A,BK,108438,-73.94009575296997,40.62830552848461
3068080015,A1,A,BK,76600,-73.94759596094184,40.608712238455766
3070050010,A1,A,BK,108139,-74.00120773290742,40.576860879631006
3068070067,A1,A,BK,73557,-73.94880437732733,40.60777582723454
3068070072,A1,A,BK,73056,-73.94885342743893,40.60802999599458
3076060078,A1,A,BK,106778,-73.9515645608794,40.62426112382913
3077010017,A1,A,BK,72847,-73.94316361449472,40.61165970425209
3077010018,A1,A,BK,72788,-73.94323941921263,40.61172213166684
3077010024,A1,A,BK,72545,-73.94345791516426,40.61191833211319
3077010025,A1,A,BK,72061,-73.9435381789832,40.61199413683109
3082560023,A1,A,BK,127061,-73.898550308455,40.63509228028795
3077020001,A1,A,BK,70812,-73.94156279721652,40.611891577506874
3076210005,A1,A,BK,121879,-73.95404828016618,40.621353789942276
3068080021,A1,A,BK,75530,-73.94750677892078,40.60822173733989
3068080023,A1,A,BK,75671,-73.94747556521341,40.60806120970197
3053950025,A1,A,BK,83548,-73.97706170070303,40.63482473422474
3073500072,A1,A,BK,55055,-73.95415083949041,40.59860791546866
3076280006,A1,A,BK,118188,-73.9475424517292,40.62207170521189
3076260053,A1,A,BK,107065,-73.94945540608113,40.623498617548975
