기간,자치구,행정동,인구
기간,자치구,행정동,합계
기간,자치구,행정동,계
2019.1/4,송파구,방이2동,"25,897"
2019.1/4,송파구,오륜동,"19,076"
2019.1/4,송파구,오금동,"40,935"
2019.1/4,송파구,송파1동,"26,296"
2019.1/4,송파구,송파2동,"20,902"
2019.1/4,송파구,석촌동,"34,342"
2019.1/4,송파구,삼전동,"33,019"
2019.1/4,송파구,가락본동,"27,962"
2019.1/4,송파구,가락1동,"20,186"
2019.1/4,송파구,가락2동,"34,155"
2019.1/4,송파구,문정1동,"21,427"
2019.1/4,송파구,문정2동,"29,963"
2019.1/4,송파구,장지동,"34,672"
2019.1/4,송파구,위례동,"28,472"
2019.1/4,송파구,잠실본동,"29,647"
2019.1/4,송파구,잠실4동,"27,790"
2019.1/4,송파구,잠실6동,"17,434"
2019.1/4,송파구,잠실7동,"10,309"
2019.1/4,송파구,잠실2동,"36,853"
2019.1/4,송파구,잠실3동,"36,146"
2019.1/4,강동구,소계,"429,601"
2019.1/4,강동구,강일동,"32,669"
2019.1/4,강동구,상일동,"11,127"
2019.1/4,강동구,명일1동,"22,356"
2019.1/4,강동구,명일2동,"18,034"
2019.1/4,강동구,고덕1동,"27,360"
2019.1/4,강동구,고덕2동,"7,521"
2019.1/4,강동구,암사2동,"14,648"
2019.1/4,강동구,암사3동,"18,940"
2019.1/4,강동구,천호1동,"28,966"
2019.1/4,강동구,천호3동,"28,452"
2019.1/4,강동구,성내1동,"20,922"
2019.1/4,강동구,성내2동,"25,608"
2019.1/4,강동구,성내3동,"23,956"
2019.1/4,강동구,둔촌1동,298
2019.1/4,강동구,둔촌2동,"28,056"
2019.1/4,강동구,암사1동,"37,621"
2019.1/4,강동구,천호2동,"36,228"
2019.1/4,강동구,길동,"46,839"
2019.2/4,합계,합계,"10,041,574"
2019.2/4,종로구,소계,"162,413"
2019.2/4,종로구,사직동,"9,724"
2019.2/4,종로구,삼청동,"3,030"
2019.2/4,종로구,부암동,"10,477"
2019.2/4,종로구,평창동,"18,820"
2019.2/4,종로구,무악동,"8,702"
2019.2/4,종로구,교남동,"10,760"
2019.2/4,종로구,가회동,"4,472"
2019.2/4,종로구,종로1.2.3.4가동,"8,500"
2019.2/4,종로구,종로5·6가동,"5,667"
2019.2/4,종로구,이화동,"8,582"
2019.2/4,종로구,창신1동,"6,166"
2019.2/4,종로구,창신2동,"9,874"
2019.2/4,종로구,창신3동,"7,354"
2019.2/4,종로구,숭인1동,"6,635"
2019.2/4,종로구,숭인2동,"10,041"
2019.2/4,종로구,청운효자동,"13,144"
2019.2/4,종로구,혜화동,"20,465"
2019.2/4,중구,소계,"136,276"
2019.2/4,중구,소공동,"3,012"
2019.2/4,중구,회현동,"5,898"
2019.2/4,중구,명동,"3,445"
2019.2/4,중구,필동,"5,088"
2019.2/4,중구,장충동,"5,668"
2019.2/4,중구,광희동,"6,247"
2019.2/4,중구,을지로동,"1,998"
2019.2/4,중구,신당5동,"10,139"
2019.2/4,중구,황학동,"13,613"
2019.2/4,중구,중림동,"13,055"
2019.2/4,중구,신당동,"9,338"
2019.2/4,중구,다산동,"15,074"
2019.2/4,중구,약수동,"17,806"
2019.2/4,중구,청구동,"14,732"
2019.2/4,중구,동화동,"11,163"
2019.2/4,용산구,소계,"245,069"
2019.2/4,용산구,후암동,"18,617"
2019.2/4,용산구,용산2가동,"11,897"
2019.2/4,용산구,남영동,"8,472"
2019.2/4,용산구,원효로2동,"14,847"
2019.2/4,용산구,효창동,"9,829"
2019.2/4,용산구,용문동,"12,714"
2019.2/4,용산구,이촌1동,"29,215"
2019.2/4,용산구,이촌2동,"9,045"
2019.2/4,용산구,이태원1동,"9,164"
2019.2/4,용산구,이태원2동,"10,864"
2019.2/4,용산구,서빙고동,"14,205"
2019.2/4,용산구,보광동,"16,008"
2019.2/4,용산구,청파동,"20,834"
2019.2/4,용산구,원효로1동,"16,313"
2019.2/4,용산구,한강로동,"19,382"
2019.2/4,용산구,한남동,"23,663"
2019.2/4,성동구,소계,"312,991"
2019.2/4,성동구,왕십리2동,"17,988"
2019.2/4,성동구,마장동,"24,203"
2019.2/4,성동구,사근동,"13,596"
2019.2/4,성동구,행당1동,"16,665"
2019.2/4,성동구,행당2동,"24,926"
2019.2/4,성동구,응봉동,"16,268"
2019.2/4,성동구,금호1가동,"16,045"
2019.2/4,성동구,금호4가동,"15,346"
2019.2/4,성동구,성수1가1동,"17,420"
2019.2/4,성동구,성수1가2동,"15,374"
2019.2/4,성동구,성수2가1동,"18,159"
2019.2/4,성동구,성수2가3동,"11,787"
2019.2/4,성동구,송정동,"11,632"
2019.2/4,성동구,용답동,"13,980"
2019.2/4,성동구,왕십리도선동,"27,885"
2019.2/4,성동구,금호2.3가동,"24,369"
2019.2/4,성동구,옥수동,"27,348"
2019.2/4,광진구,소계,"369,470"
2019.2/4,광진구,화양동,"25,314"
2019.2/4,광진구,군자동,"22,084"
2019.2/4,광진구,중곡1동,"16,510"
2019.2/4,광진구,중곡2동,"22,606"
2019.2/4,광진구,중곡3동,"17,567"
2019.2/4,광진구,중곡4동,"30,792"
2019.2/4,광진구,능동,"11,887"
2019.2/4,광진구,구의1동,"23,191"
2019.2/4,광진구,구의2동,"28,140"
2019.2/4,광진구,구의3동,"30,289"
2019.2/4,광진구,광장동,"36,171"
2019.2/4,광진구,자양1동,"24,351"
2019.2/4,광진구,자양2동,"27,221"
2019.2/4,광진구,자양3동,"29,685"
2019.2/4,광진구,자양4동,"23,662"
2019.2/4,동대문구,소계,"363,101"
2019.2/4,동대문구,회기동,"13,100"
2019.2/4,동대문구,휘경1동,"15,343"
2019.2/4,동대문구,휘경2동,"25,178"
2019.2/4,동대문구,청량리동,"22,288"
2019.2/4,동대문구,용신동,"32,062"
2019.2/4,동대문구,제기동,"27,738"
2019.2/4,동대문구,전농1동,"31,141"
2019.2/4,동대문구,전농2동,"20,231"
2019.2/4,동대문구,답십리1동,"29,907"
2019.2/4,동대문구,답십리2동,"30,446"
2019.2/4,동대문구,장안1동,"39,260"
2019.2/4,동대문구,장안2동,"31,816"
2019.2/4,동대문구,이문1동,"23,215"
2019.2/4,동대문구,이문2동,"21,376"
2019.2/4,중랑구,소계,"405,639"
2019.2/4,중랑구,면목2동,"26,260"
2019.2/4,중랑구,면목4동,"20,370"
2019.2/4,중랑구,면목5동,"10,003"
2019.2/4,중랑구,면목7동,"22,054"
2019.2/4,중랑구,상봉1동,"25,583"
2019.2/4,중랑구,상봉2동,"19,494"
2019.2/4,중랑구,중화1동,"20,983"
2019.2/4,중랑구,중화2동,"28,423"
2019.2/4,중랑구,묵1동,"36,120"
2019.2/4,중랑구,묵2동,"20,138"
